2017;Electricidad;Gas;Gasóleo;Fueloil;Otros productos petrolíferos;Carbón y coque;Biocombustibles;Calor y otros consumos energéticos
    244 Producción de metales preciosos y de otros metales no férreos (CNAE 24.4);394479;112137;4577;9076;869;4433;319;14952
    245 Fundición de metales (CNAE 24.5);120718;20140;1667;3;509;7346;0;1350
    25 Fabricación de productos metálicos. excepto maquinaria y equipo (CNAE 25);288146;70799;44672;742;5981;38;138;5656
    251 Fabricación de elementos metálicos para la construcción;37242;4555;23644;178;1694;0;13;864
    252 Fabricación de cisternas. grandes depósitos y contenedores de metal (CNAE 25.2);7980;2107;3362;0;386;38;62;0
    253 Fabricación de generadores de vapor. excepto calderas de calefacción central (CNAE 25.3);922;450;186;0;34;0;0;0
    254 Fabricación de armas y municiones (CNAE 25.4);3165;644;320;383;8;0;0;5
    255 Forja. estampación y embutición de metales metalurgia de polvos (CNAE 25.5);83452;13540;4508;102;770;0;2;2999
    256 Tratamiento y revestimiento de metales ingeniería mecánica por cuenta de terceros;73045;27243;7593;0;1588;0;0;1708
    257 Fabricación de artículos de cuchillería y cubertería. herramientas y ferretería (CNAE 25.7);17850;2192;1053;0;223;0;0;4
    259 Fabricación de otros productos metálicos (CNAE 25.9);64490;20068;4005;79;1278;0;60;77
    26 Fabricación de productos informáticos. electrónicos y ópticos;20486;534;1570;16;447;0;0;26
    261 Fabricación de componentes electrónicos y circuitos impresos ensamblados (CNAE 26.1);9969;280;516;0;120;0;0;26
    263 Fabricación de equipos de telecomunicaciones (CNAE 26.3);3754;30;354;0;149;0;0;0
    264 Fabricación de productos electrónicos de consumo (CNAE 26.4);995;2;15;0;0;0;0;0
    265 Fabricación de instrumentos y aparatos de medida. verificación y navegación fabricación de relojes (CNAE 26.5);3599;50;605;16;132;0;0;0
    266 Fabricación de equipos de radiación. electromédicos y electroterapéuticos;1148;76;23;0;35;0;0;0
    267 Fabricación de instrumentos de óptica y equipo fotográfico;676;0;0;0;0;0;0;0
    27 Fabricación de material y equipo eléctrico;120778;19411;10390;89;874;0;33;85
    271  Fabricación de motores. generadores y transformadores eléctricos. y de aparatos de distribución y control eléctrico (CNAE 27.1);26341;4759;2641;2;695;0;0;39
    272 Fabricación de pilas y acumuladores eléctricos;13583;1524;0;0;0;0;0;35
    273 Fabricación de cables y dispositivos de cableado (CNAE 27.3);26050;1787;886;0;10;0;0;0
    274 Fabricación de lámparas y aparatos eléctricos de iluminación (CNAE 27.4);13913;1346;1212;0;98;0;0;0
    275 Fabricación de aparatos domésticos (CNAE 27.5);14693;2179;1021;87;71;0;33;0
    279 Fabricación de otro material y equipo eléctrico;26197;7815;4630;0;0;0;0;10
    28 Maquinaria y equipo mecánico (CNAE 28);84622;16150;18734;200;1835;0;840;473
    281 Fabricación de maquinaria de uso general (CNAE 28.1);23832;3838;1259;197;169;0;756;19
    282 Fabricación de otra maquinaria de uso general (CNAE 28.2);27529;6319;9592;0;561;0;69;124
    283 Fabricación de maquinaria agraria y forestal (CNAE 28.3);6938;1920;2738;0;325;0;0;0
    284 Fabricación de máquinas-herramienta (CNAE 28.4);6235;810;928;0;430;0;0;2
    289 Fabricación de otra maquinaria para usos específicos (CNAE 28.9);20087;3263;4217;3;351;0;15;328
    29 Vehículos de motor. remolques y semiremolques (CNAE 29);348451;94918;7922;570;2097;0;0;1725
    291 Fabricación de vehículos de motor (CNAE 29.1);143276;60254;860;154;434;0;0;33
    292 Fabricación de carrocerías para vehículos de motor y de remolques y semirremolques (CNAE 29.2);5682;1086;2447;0;273;0;0;0
    293 Fabricación de componentes. piezas y accesorios para vehículos de motor (CNAE 29.3);199494;33578;4614;416;1390;0;0;1692
    30 Material de transporte. excepto vehículos de motor (CNAE 30);67990;12762;3499;198;7938;0;12;1398
    301 Construcción naval (CNAE 30.1);16781;1861;1782;183;239;0;0;382
    302 Fabricación de locomotoras y material ferroviario (CNAE 30.2);9522;3147;450;15;44;0;0;498
    303 Construcción aeronáutica y espacial y su maquinaria;39600;7203;1089;0;7624;0;12;453
    31 Fabricación de muebles (CNAE 31);37995;3975;14477;144;1519;0;197;454
    310 Fabricación de muebles;37995;3975;14477;144;1519;0;197;454
    32 Otras industrias manufactureras;21722;1588;2051;13;194;0;26;109
    321 Fabricación de artículos de joyería. bisutería y similares (CNAE 32.1);1712;159;68;0;23;0;0;0
    322 Fabricación de instrumentos musicales;435;31;15;0;0;0;0;0
    323 Fabricación de artículos de deporte;1528;198;341;0;0;0;0;0
    324 Fabricación de juegos y juguetes;2817;84;251;0;18;0;0;0
    325 Fabricación de instrumentos y suministros médicos y odontológicos (CNAE 32.5);10609;809;549;13;120;0;26;109
    329 Industrias manufactureras n.c.o.p.;4623;307;827;0;33;0;0;0
    33 Reparación e instalación de maquinaria y equipo (CNAE 33);20532;3553;19981;571;2333;0;8;1146
    331 Reparación de productos metálicos. maquinaria y equipo (CNAE 33.1);18476;3007;16043;195;1546;0;0;702
    332 Instalación de máquinas y equipos industriales (CNAE 33.2);2055;546;3938;376;787;0;8;443
